"subject" "activity" "feature" "avg"
1 "WALKING" "angle(tBodyAccJerkMean),gravityMean)" 0.00901810943544669
1 "WALKING" "angle(tBodyAccMean,gravity)" 0.0376077057057925
1 "WALKING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0016303535815562
1 "WALKING" "angle(tBodyGyroMean,gravityMean)" -0.0134509534112392
1 "WALKING" "angle(X,gravityMean)" -0.535773765244957
1 "WALKING" "angle(Y,gravityMean)" 0.122790250801441
1 "WALKING" "angle(Z,gravityMean)" -0.0390790177233429
1 "WALKING" "fBodyAcc-bandsEnergy()-1,16" -0.77190663012488
1 "WALKING" "fBodyAcc-bandsEnergy()-1,24" -0.763418782199808
1 "WALKING" "fBodyAcc-bandsEnergy()-1,8" -0.78816996648415
1 "WALKING" "fBodyAcc-bandsEnergy()-17,24" -0.812599682047839
1 "WALKING" "fBodyAcc-bandsEnergy()-17,32" -0.803720059915466
1 "WALKING" "fBodyAcc-bandsEnergy()-25,32" -0.882512501736792
1 "WALKING" "fBodyAcc-bandsEnergy()-25,48" -0.876738464418828
1 "WALKING" "fBodyAcc-bandsEnergy()-33,40" -0.906420729462632
1 "WALKING" "fBodyAcc-bandsEnergy()-33,48" -0.893847871954851
1 "WALKING" "fBodyAcc-bandsEnergy()-41,48" -0.886037868989433
1 "WALKING" "fBodyAcc-bandsEnergy()-49,56" -0.902467255898175
1 "WALKING" "fBodyAcc-bandsEnergy()-49,64" -0.914411980154659
1 "WALKING" "fBodyAcc-bandsEnergy()-57,64" -0.937843220041306
1 "WALKING" "fBodyAcc-bandsEnergy()-9,16" -0.856068594410471
1 "WALKING" "fBodyAcc-energy()-X" -0.818789354236311
1 "WALKING" "fBodyAcc-energy()-Y" -0.669529376397694
1 "WALKING" "fBodyAcc-energy()-Z" -0.794034650662824
1 "WALKING" "fBodyAcc-entropy()-X" -0.0301209415097983
1 "WALKING" "fBodyAcc-entropy()-Y" -0.033778883556196
1 "WALKING" "fBodyAcc-entropy()-Z" -0.101002286654179
1 "WALKING" "fBodyAcc-iqr()-X" -0.519429387218156
1 "WALKING" "fBodyAcc-iqr()-Y" -0.554565588660461
1 "WALKING" "fBodyAcc-iqr()-Z" -0.702083332115274
1 "WALKING" "fBodyAcc-kurtosis()-X" -0.525705892481556
1 "WALKING" "fBodyAcc-kurtosis()-Y" -0.506971370703746
1 "WALKING" "fBodyAcc-kurtosis()-Z" -0.407213740707781
1 "WALKING" "fBodyAcc-mad()-X" -0.508875039010086
1 "WALKING" "fBodyAcc-mad()-Y" -0.395489776087032
1 "WALKING" "fBodyAcc-mad()-Z" -0.558255546734006
1 "WALKING" "fBodyAcc-max()-X" -0.631256730338703
1 "WALKING" "fBodyAcc-max()-Y" -0.546129048894525
1 "WALKING" "fBodyAcc-max()-Z" -0.467373813193084
1 "WALKING" "fBodyAcc-maxInds-X" -0.76201543014121
1 "WALKING" "fBodyAcc-maxInds-Y" -0.781556195391931
1 "WALKING" "fBodyAcc-maxInds-Z" -0.902904010596542
1 "WALKING" "fBodyAcc-mean()-X" -0.531895161258213
1 "WALKING" "fBodyAcc-mean()-Y" -0.406435448904438
1 "WALKING" "fBodyAcc-mean()-Z" -0.596411165253602
1 "WALKING" "fBodyAcc-meanFreq()-X" -0.180558714010749
1 "WALKING" "fBodyAcc-meanFreq()-Y" 0.0576291646962536
1 "WALKING" "fBodyAcc-meanFreq()-Z" 0.0583692776609798
1 "WALKING" "fBodyAcc-min()-X" -0.819904425735447
1 "WALKING" "fBodyAcc-min()-Y" -0.840051304161383
1 "WALKING" "fBodyAcc-min()-Z" -0.888354333573487
1 "WALKING" "fBodyAcc-skewness()-X" -0.188227152155043
1 "WALKING" "fBodyAcc-skewness()-Y" -0.204360491241787
1 "WALKING" "fBodyAcc-skewness()-Z" -0.182008402463977
1 "WALKING" "fBodyAcc-sma()" -0.445391557253458
1 "WALKING" "fBodyAcc-std()-X" -0.553060616663401
1 "WALKING" "fBodyAcc-std()-Y" -0.390150939647061
1 "WALKING" "fBodyAcc-std()-Z" -0.498583091676081
1 "WALKING" "fBodyAccJerk-bandsEnergy()-1,16" -0.840578189231508
1 "WALKING" "fBodyAccJerk-bandsEnergy()-1,24" -0.80342425043708
1 "WALKING" "fBodyAccJerk-bandsEnergy()-1,8" -0.864991422074928
1 "WALKING" "fBodyAccJerk-bandsEnergy()-17,24" -0.811630562011527
1 "WALKING" "fBodyAccJerk-bandsEnergy()-17,32" -0.812560313824688
